===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJ_MACDStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
86,,86,2015-05-06 00:00:00,44.065383810936346,44.07497623142183,43.35542392054414,43.45136642456055,4441400.0,,KDJ_MACDStrategy,86,735724.0,Broker,86,529.4097298559573,10044.112162319616,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2015-05-07 00:00:00,43.48975636602714,43.89270402329142,43.201932428171624,43.710418701171875,2427000.0,,KDJ_MACDStrategy,87,735725.0,Broker,87,529.4097298559573,10100.837773715253,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2015-05-08 00:00:00,44.122963730965914,44.21890260649901,43.72001240209323,44.036617279052734,2548200.0,,KDJ_MACDStrategy,88,735726.0,Broker,88,529.4097298559573,10172.266652892567,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2015-05-11 00:00:00,44.046205884337624,44.46834202385543,43.81594747925224,44.21889877319336,3405100.0,,KDJ_MACDStrategy,89,735729.0,Broker,89,529.4097298559573,10212.181489142979,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2015-05-12 00:00:00,43.86392633880765,43.99824223450007,43.49935200776133,43.729610443115234,2230400.0,,KDJ_MACDStrategy,90,735730.0,Broker,90,529.4097298559573,10105.040258672054,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2015-05-13 00:00:00,43.767974853515625,44.1325491100475,43.576093473244484,43.767974853515625,2159800.0,,KDJ_MACDStrategy,91,735731.0,Broker,91,529.4097298559573,10113.44105199556,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2015-05-14 00:00:00,44.007843994346224,44.43957636482619,43.63367715987506,44.40119934082031,1959600.0,,KDJ_MACDStrategy,92,735732.0,Broker,92,529.4097298559573,10252.100501983487,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2015-05-15 00:00:00,44.63145732936913,45.00562415968499,44.54511085623204,44.60267639160156,2831500.0,,KDJ_MACDStrategy,93,735733.0,Broker,93,529.4097298559573,10296.218658508718,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2015-05-18 00:00:00,44.56429208765695,44.87130090647027,44.43956861131598,44.832923889160156,2890600.0,,KDJ_MACDStrategy,94,735736.0,Broker,94,529.4097298559573,10346.636783538064,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2015-05-19 00:00:00,44.97682212059949,45.75393635440801,44.84250626092062,45.523681640625,3845700.0,,KDJ_MACDStrategy,95,735737.0,Broker,95,529.4097298559573,10497.894499898182,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2015-05-20 00:00:00,45.54288087795723,45.8690781825624,45.08236768201467,45.360591888427734,2206600.0,,KDJ_MACDStrategy,96,735738.0,Broker,96,10502.09862614732,10502.09862614732,BuySell,96,,46.557114355300826,Trades - Net Profit/Loss,96,502.09862614732015,
97,,97,2015-05-21 00:00:00,45.4085495932235,45.945812976441964,45.13991424178196,45.859466552734375,3599300.0,,KDJ_MACDStrategy,97,735739.0,Broker,97,10502.09862614732,10502.09862614732,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2015-05-22 00:00:00,45.77313097681225,45.89785443168862,45.571657160358,45.696380615234375,1832300.0,,KDJ_MACDStrategy,98,735740.0,Broker,98,10502.09862614732,10502.09862614732,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2015-05-26 00:00:00,45.59085131395495,46.0993339593829,45.58125523017312,46.003395080566406,3999500.0,,KDJ_MACDStrategy,99,735744.0,Broker,99,10502.09862614732,10502.09862614732,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2015-05-27 00:00:00,46.03217313208861,47.47127818329542,45.73475677063251,47.44249725341797,5447800.0,,KDJ_MACDStrategy,100,735745.0,Broker,100,10502.09862614732,10502.09862614732,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2015-05-28 00:00:00,47.28899922711123,47.53844252590737,46.435130700686514,47.11630630493164,4934000.0,,KDJ_MACDStrategy,101,735746.0,Broker,101,10502.09862614732,10502.09862614732,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2015-05-29 00:00:00,47.432899234291966,47.93178940419511,47.13548654480798,47.74950408935547,5617100.0,,KDJ_MACDStrategy,102,735747.0,Broker,102,10502.09862614732,10502.09862614732,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2015-06-01 00:00:00,47.89342158855319,48.325153901156455,47.36575038863095,47.75910568237305,4496100.0,,KDJ_MACDStrategy,103,735750.0,Broker,103,10502.09862614732,10502.09862614732,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2015-06-02 00:00:00,47.70152700998742,47.941377803626004,46.914816699639495,47.56721115112305,2680500.0,,KDJ_MACDStrategy,104,735751.0,Broker,104,10502.09862614732,10502.09862614732,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2015-06-03 00:00:00,47.85504560282137,47.874234111198724,47.33696685613415,47.5384407043457,1976000.0,,KDJ_MACDStrategy,105,735752.0,Broker,105,10502.09862614732,10502.09862614732,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2015-06-04 00:00:00,47.058737572944125,47.576816304202296,46.86685615471884,46.91482925415039,2080700.0,,KDJ_MACDStrategy,106,735753.0,Broker,106,10502.09862614732,10502.09862614732,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2015-06-05 00:00:00,46.7229501180698,47.1738672641152,46.444722231045,47.020362854003906,2412000.0,,KDJ_MACDStrategy,107,735754.0,Broker,107,10502.09862614732,10502.09862614732,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2015-06-08 00:00:00,46.77092398613671,47.22184483468845,46.76133156077427,46.81889343261719,1906400.0,,KDJ_MACDStrategy,108,735757.0,Broker,108,10502.09862614732,10502.09862614732,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2015-06-09 00:00:00,46.69415695342903,47.36573999682168,46.55024865402335,47.24102020263672,2675500.0,,KDJ_MACDStrategy,109,735758.0,Broker,109,10502.09862614732,10502.09862614732,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2015-06-10 00:00:00,47.4041206065507,47.87422987056983,47.010765369242215,47.672752380371094,2012100.0,,KDJ_MACDStrategy,110,735759.0,Broker,110,10502.09862614732,10502.09862614732,BuySell,110,,,Trades - Net Profit/Loss,110,,
