===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
74,,74,2015-04-20 00:00:00,44.98642859024277,45.21668703576257,44.81373567106137,45.130340576171875,2890200.0,,KDJStrategy,74,735708.0,Broker,74,558.7128094214731,10217.449955357939,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2015-04-21 00:00:00,45.36059941015707,45.64842340770272,45.187906475563345,45.61004638671875,3139000.0,,KDJStrategy,75,735709.0,Broker,75,10266.729653330505,10266.729653330505,BuySell,75,,46.33314975881826,Trades - Net Profit/Loss,75,78.02694427501658,
76,,76,2015-04-22 00:00:00,45.52368644989542,45.59084438682964,45.0247963042176,45.12073516845703,2075700.0,,KDJStrategy,76,735710.0,Broker,76,531.8039582505226,10180.56130692786,BuySell,76,44.349424359654336,,Trades - Net Profit/Loss,76,,
77,,77,2015-04-23 00:00:00,45.03439576204761,45.18790016471123,44.6794175171068,45.139930725097656,2113300.0,,KDJStrategy,77,735711.0,Broker,77,531.8039582505226,10184.666144038929,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2015-04-24 00:00:00,44.98641979916253,46.04176561679858,44.832915418757864,45.96501159667969,3449500.0,,KDJStrategy,78,735712.0,Broker,78,531.8039582505226,10361.103985603524,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2015-04-27 00:00:00,46.03217134454077,46.04176742734955,44.84251326458067,44.92885971069336,2684100.0,,KDJStrategy,79,735715.0,Broker,79,10375.465633486489,10375.465633486489,BuySell,79,,46.732393938759785,Trades - Net Profit/Loss,79,108.73598015598509,
80,,80,2015-04-28 00:00:00,44.82331534646315,44.9192541954054,43.787158210690855,43.873504638671875,4492400.0,,KDJStrategy,80,735716.0,Broker,80,10375.465633486489,10375.465633486489,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2015-04-29 00:00:00,43.652859563467715,44.07499578895884,43.269096696778384,43.38422775268555,3997600.0,,KDJStrategy,81,735717.0,Broker,81,10375.465633486489,10375.465633486489,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2015-04-30 00:00:00,43.2499128765032,43.60489115774612,42.51117171943863,42.616703033447266,4330200.0,,KDJStrategy,82,735718.0,Broker,82,10375.465633486489,10375.465633486489,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2015-05-01 00:00:00,42.91410808121691,43.086800963622856,42.587910821098234,42.798980712890625,5835100.0,,KDJStrategy,83,735719.0,Broker,83,10375.465633486489,10375.465633486489,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2015-05-04 00:00:00,42.93330913717433,43.71042733518637,42.89493211656862,43.556922912597656,4782900.0,,KDJStrategy,84,735722.0,Broker,84,10375.465633486489,10375.465633486489,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2015-05-05 00:00:00,45.216689755646854,45.51410251003409,43.297882680285376,43.82555389404297,7681200.0,,KDJStrategy,85,735723.0,Broker,85,143.17716391131398,10060.659230956231,BuySell,85,42.6484144400811,,Trades - Net Profit/Loss,85,,
86,,86,2015-05-06 00:00:00,44.06540702255609,44.07499944809442,43.35544675818963,43.45138931274414,4441400.0,,KDJStrategy,86,735724.0,Broker,86,143.17716391131398,9975.987841882039,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2015-05-07 00:00:00,43.48975636602714,43.89270402329142,43.201932428171624,43.710418701171875,2427000.0,,KDJStrategy,87,735725.0,Broker,87,143.17716391131398,10034.604769366413,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2015-05-08 00:00:00,44.12296755314299,44.21890643698684,43.72001618936442,44.03662109375,2548200.0,,KDJStrategy,88,735726.0,Broker,88,143.17716391131398,10108.422578639109,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2015-05-11 00:00:00,44.04619448493968,44.46833051520636,43.815936139446436,44.21888732910156,3405100.0,,KDJStrategy,89,735729.0,Broker,89,143.17716391131398,10149.668426321883,BuySell,89,,,Trades - Net Profit/Loss,89,,
